player_id,player_name,season,league,team,minutes_played,age,role_source_column,role_source_value,role_model_family,arbitrated_position,arbitrated_role_group,arbitrated_lane,arbitrated_confidence,position_conflict_flag,season_avg_x,season_avg_y,season_position_zone,spatial_matches_used,spatial_wide_pct,spatial_right_pct,spatial_left_pct,spatial_high_wide_pct,primary_role,secondary_role,role_score,role_bvalue,confidence,cohort_size,warning,measured_metrics_available,measured_metrics_possible,partial_proxies_available,partial_proxies_possible,measured_inputs,partial_proxies,unmeasured_traits
2189165,Yannik Wagner,2025-26,Bundesliga,1. FC Heidenheim,45.0,19.0,arbitrated_role_group,AM-W,W,LW,AM-W,Left Wide Forward,0.87,True,62.210425,70.65,high_left,4.0,0.75,0.0,0.75,0.75,Playmaking Winger,Winger,90.11,0.8022,0.567,872,,4.0,6.0,0.0,0.0,"key_passes_per90, xa_per90, crosses_accurate_per90, passes_opposition_half_total_per90",,"vision, technique, decisions, composure, flair"
151581,Leart Paqarada,2025-26,Bundesliga,1. FC Heidenheim,7.0,31.0,arbitrated_role_group,FB,FB,LB,FB,Left Fullback,0.87,True,25.1,82.1667,deep_left,1.0,1.0,0.0,1.0,0.0,Pressing Full-Back,Holding Full-Back,,,0.0,482,,0.0,4.0,0.0,1.0,,,"aggression, work rate, anticipation"
2255188,Tobias Weigel,2025-26,Bundesliga,1. FC Heidenheim,1.0,19.0,arbitrated_role_group,ST-SS,ST,SS,ST-SS,Central Support Forward,0.84,True,52.6,46.8,mid_central,1.0,0.0,0.0,0.0,0.0,False Nine,Deep-Lying Forward,99.1,0.9819,0.156,859,,2.0,6.0,0.0,0.0,"xa_per90, passes_total_per90",,"first touch, technique, composure, decisions, vision, off-ball movement"
121908,Kevin Muller,2025-26,Bundesliga,1. FC Heidenheim,,35.0,arbitrated_role_group,GK,GK,GK,GK,Central/Unspecified,0.67,False,,,,,,,,,Goalkeeper,Ball-Playing Goalkeeper,,,0.0,683,,0.0,4.0,0.0,1.0,,,"aerial reach, command of area, communication, handling, reflexes, concentration"
1022845,Paul Tschernuth,2025-26,Bundesliga,1. FC Heidenheim,,24.0,arbitrated_role_group,GK,GK,GK,GK,Central/Unspecified,0.67,False,,,,,,,,,Goalkeeper,Ball-Playing Goalkeeper,,,0.0,683,,0.0,4.0,0.0,1.0,,,"aerial reach, command of area, communication, handling, reflexes, concentration"
1900436,Nick Rothweiler,2025-26,Bundesliga,1. FC Heidenheim,,19.0,arbitrated_role_group,CM,CM,CM,CM,Central Midfield,0.61,True,,,,,,,,,Central Midfielder,Advanced Playmaker,,,0.0,1209,,0.0,6.0,0.0,0.0,,,"first touch, decisions, teamwork, positioning, concentration"
187185,Marvin Schwabe,2025-26,Bundesliga,1. FC Köln,3060.0,31.0,arbitrated_role_group,GK,GK,GK,GK,Central,0.95,False,14.402823529411766,49.46743823529412,deep_central,34.0,0.0,0.0,0.0,0.0,Ball-Playing Goalkeeper,Sweeper Keeper,88.51,0.7701,0.83,683,,4.0,5.0,1.0,1.0,"passes_total_per90, passes_accurate_per90, long_balls_accurate_per90, gk_sweeper_accurate_per90",gk_sweeper_total_per90,"kicking, passing technique, composure, decisions, one-on-ones"
801263,Jakub Kamiński,2025-26,Bundesliga,1. FC Köln,3019.0,23.0,arbitrated_role_group,AM-C,AM,AMC,AM-C,Central Attacking Midfield,0.85,True,57.86055,61.14855882352941,mid_central,34.0,0.3235,0.0294,0.2941,0.1176,Channel Midfielder,Second Striker,57.17,0.1435,0.425,167,,3.0,6.0,0.0,1.0,"crosses_accurate_per90, key_passes_per90, progressive_carries_per90",,"work rate, acceleration, off the ball, vision, decisions"
988639,Eric Martel,2025-26,Bundesliga,1. FC Köln,2564.0,24.0,arbitrated_role_group,CM,CM,CM,CM,Central Midfield,0.85,True,42.04963870967742,51.7239129032258,mid_central,31.0,0.0,0.0,0.0,0.0,Pressing Central Midfielder,Central Midfielder,,,0.0,1209,,0.0,4.0,0.0,1.0,,,"aggression, work rate, anticipation"
1020206,Sebastian Sebulonsen,2025-26,Bundesliga,1. FC Köln,2505.0,26.0,arbitrated_role_group,FB,FB,RB,FB,Right Fullback,0.81,True,46.74563225806451,23.96683870967742,mid_right,31.0,0.9032,0.9032,0.0,0.0645,Pressing Full-Back,Holding Full-Back,,,0.0,482,,0.0,4.0,0.0,1.0,,,"aggression, work rate, anticipation"
