blocked_x,blocked_y,category,end_x,end_y,goal_mouth_y,goal_mouth_z,match_id,minute,note,outcome,qualifiers,satisfied_event_types,second,type,x,y
,,Goal,,,47.8,7.0,1983546,48,,Successful,"{'BoxCentre': True, 'RightFoot': True, 'RegularPlay': True, 'Assisted': True, 'RelatedEventId': '499', 'Zone': 'Center', 'LowRight': True, 'GoalMouthY': '47.8', 'GoalMouthZ': '7.0', 'IntentionalAssist': True, 'FirstTouch': True}","[91, 24, 9, 10, 1, 3, 12, 17, 19, 25]",19,Goal,91.1,40.1
,,Pass,65.2,71.8,,,1983546,50,,Successful,"{'FreekickTaken': True, 'Zone': 'Center', 'PassEndX': '65.2', 'PassEndY': '71.8', 'Length': '15.0', 'Angle': '4.74'}","[91, 119, 117, 30, 132, 36, 38, 216, 218]",51,Pass,64.8,93.9
,,Pass,74.4,7.5,,,1983546,51,,Successful,"{'Zone': 'Right', 'PassEndX': '74.4', 'PassEndY': '7.5', 'Length': '18.9', 'Angle': '5.03'}","[91, 119, 117, 30, 205, 36, 38, 217, 218]",2,Pass,68.7,33.9
,,Tackle,,,,,1983546,51,,Successful,"{'Zone': 'Right', 'StandingSave': True, 'OppositeRelatedEvent': '326', 'Offensive': True}","[91, 143]",36,Tackle,75.4,8.2
,,BallRecovery,,,,,1983546,51,,Successful,{},[93],38,BallRecovery,80.0,11.1
,,Pass,83.6,26.2,,,1983546,51,,Successful,"{'Zone': 'Center', 'PassEndX': '83.6', 'PassEndY': '26.2', 'Length': '10.9', 'Angle': '1.22'}","[91, 119, 117, 30, 205, 36, 37, 217, 218]",38,Pass,80.0,11.1
,,BallRecovery,,,,,1983546,52,,Successful,{},[93],36,BallRecovery,57.0,6.0
,,Pass,47.7,65.6,,,1983546,52,,Successful,"{'Longball': True, 'Zone': 'Back', 'PassEndX': '47.7', 'PassEndY': '65.6', 'Length': '32.3', 'Angle': '1.81'}","[91, 117, 127, 35, 37, 216, 218]",37,Pass,55.0,19.5
,,Pass,58.8,27.7,,,1983546,52,,Successful,"{'Zone': 'Center', 'PassEndX': '58.8', 'PassEndY': '27.7', 'Length': '15.2', 'Angle': '5.12'}","[91, 119, 117, 30, 36, 38, 216, 218]",44,Pass,53.1,48.3
,,Pass,88.1,17.8,,,1983546,52,,Unsuccessful,"{'Zone': 'Right', 'PassEndX': '88.1', 'PassEndY': '17.8', 'Length': '14.4', 'Angle': '6.12'}","[91, 120, 29, 36, 38, 217, 218]",55,Pass,74.6,21.3
,,OffsidePass,95.9,31.6,,,1983546,56,,Successful,"{'PlayerCaughtOffside': '399296', 'Zone': 'Center', 'PassEndX': '95.9', 'PassEndY': '31.6', 'OppositeRelatedEvent': '377'}","[91, 217]",25,OffsidePass,72.4,53.4
,,Pass,30.8,38.8,,,1983546,58,,Successful,"{'Zone': 'Back', 'PassEndX': '30.8', 'PassEndY': '38.8', 'Length': '9.2', 'Angle': '2.06'}","[91, 117, 30, 35, 37, 215, 218]",39,Pass,34.9,26.8
,,Pass,78.9,11.2,,,1983546,59,,Successful,"{'Zone': 'Right', 'PassEndX': '78.9', 'PassEndY': '11.2', 'Length': '7.2', 'Angle': '6.01'}","[91, 119, 117, 30, 205, 36, 38, 217, 218]",24,Pass,72.3,14.1
,,Pass,75.0,30.4,,,1983546,59,,Successful,"{'Zone': 'Center', 'PassEndX': '75.0', 'PassEndY': '30.4', 'Length': '6.7', 'Angle': '1.73'}","[91, 119, 117, 30, 205, 35, 37, 217, 218]",28,Pass,76.0,20.7
,,Pass,85.3,12.3,,,1983546,59,,Successful,"{'Zone': 'Right', 'PassEndX': '85.3', 'PassEndY': '12.3', 'Length': '19.9', 'Angle': '5.66'}","[91, 119, 117, 30, 205, 36, 38, 217, 218]",36,Pass,69.9,29.3
,,Pass,94.6,26.2,,,1983546,59,,Successful,"{'Zone': 'Center', 'PassEndX': '94.6', 'PassEndY': '26.2', 'Length': '21.4', 'Angle': '0.26'}","[91, 119, 117, 30, 205, 36, 37, 217, 218]",40,Pass,74.9,18.2
,,Pass,59.1,42.0,,,1983546,59,,Successful,"{'Zone': 'Center', 'PassEndX': '59.1', 'PassEndY': '42.0', 'Length': '6.0', 'Angle': '1.28'}","[91, 119, 117, 30, 36, 37, 216, 218]",58,Pass,57.5,33.6
,,Pass,66.2,16.8,,,1983546,60,,Successful,"{'Zone': 'Right', 'PassEndX': '66.2', 'PassEndY': '16.8', 'Length': '11.4', 'Angle': '5.21'}","[91, 119, 117, 30, 36, 38, 216, 218]",8,Pass,61.0,31.6
