category,distance,end_x,end_y,gap_seconds,match_id,minute,note,outcome,second,start_minute,start_second,type,x,y
carries,22.64,68.5,24.1,6,1983546,,"derived (gap+distance heuristic), not a native WhoScored event",,,31,32,,83.9,7.5
carries,9.17,55.5,9.3,5,1983546,,"derived (gap+distance heuristic), not a native WhoScored event",,,32,20,,51.2,17.4
carries,13.5,81.9,23.5,5,1983546,,"derived (gap+distance heuristic), not a native WhoScored event",,,36,52,,87.0,36.0
carries,21.63,100.0,28.9,1,1983546,,"derived (gap+distance heuristic), not a native WhoScored event",,,44,33,,93.4,49.5
carries,20.21,79.8,29.4,4,1983546,,"derived (gap+distance heuristic), not a native WhoScored event",,,45,20,,95.1,16.2
carries,13.16,90.4,37.2,3,1983546,,"derived (gap+distance heuristic), not a native WhoScored event",,,45,24,,79.8,29.4
carries,28.72,91.1,40.1,7,1983546,,"derived (gap+distance heuristic), not a native WhoScored event",,,48,12,,83.5,12.4
carries,5.44,80.0,11.1,2,1983546,,"derived (gap+distance heuristic), not a native WhoScored event",,,51,36,,75.4,8.2
carries,13.65,55.0,19.5,1,1983546,,"derived (gap+distance heuristic), not a native WhoScored event",,,52,36,,57.0,6.0
carries,18.12,53.1,48.3,7,1983546,,"derived (gap+distance heuristic), not a native WhoScored event",,,52,37,,47.7,65.6
carries,9.93,76.0,20.7,4,1983546,,"derived (gap+distance heuristic), not a native WhoScored event",,,59,24,,78.9,11.2
carries,5.22,69.9,29.3,8,1983546,,"derived (gap+distance heuristic), not a native WhoScored event",,,59,28,,75.0,30.4
carries,11.96,74.9,18.2,4,1983546,,"derived (gap+distance heuristic), not a native WhoScored event",,,59,36,,85.3,12.3
carries,21.41,66.7,30.1,6,1983546,,"derived (gap+distance heuristic), not a native WhoScored event",,,62,37,,87.9,33.1
carries,10.26,65.2,30.3,2,1983546,,"derived (gap+distance heuristic), not a native WhoScored event",,,62,43,,64.1,20.1
carries,6.26,43.7,33.0,2,1983546,,"derived (gap+distance heuristic), not a native WhoScored event",,,63,42,,38.8,36.9
carries,7.75,32.6,29.5,3,1983546,,"derived (gap+distance heuristic), not a native WhoScored event",,,71,28,,40.2,31.0
passes,,61.6,4.7,,1983558,0,,Successful,3,,,Pass,55.4,46.6
passes,,55.3,5.8,,1983558,0,,Successful,22,,,Pass,60.3,6.2
passes,,94.8,23.0,,1983558,0,,Unsuccessful,50,,,Pass,75.9,18.6
passes,,60.7,48.0,,1983558,3,,Successful,54,,,Pass,60.4,37.4
passes,,75.9,15.2,,1983558,4,,Successful,1,,,Pass,81.4,13.4
passes,,61.8,34.2,,1983558,4,,Successful,9,,,Pass,70.8,30.3
passes,,100.0,21.4,,1983558,4,,Unsuccessful,15,,,Pass,69.7,28.0
passes,,39.0,64.4,,1983558,6,,Successful,53,,,Pass,53.1,65.4
passes,,90.3,28.3,,1983558,8,,Successful,34,,,Pass,87.8,27.3
passes,,66.5,4.1,,1983558,11,,Successful,46,,,Pass,47.7,23.5
passes,,61.6,64.4,,1983558,11,,Successful,55,,,Pass,61.3,32.6
passes,,44.0,41.0,,1983558,14,,Successful,43,,,Pass,46.1,51.4
passes,,51.6,63.3,,1983558,14,,Successful,55,,,Pass,57.0,19.1
passes,,68.1,2.2,,1983558,16,,Successful,24,,,Pass,57.7,11.8
passes,,56.6,48.4,,1983558,16,,Successful,29,,,Pass,55.7,17.7
passes,,53.7,5.0,,1983558,21,,Successful,8,,,Pass,59.0,12.4
passes,,53.5,3.1,,1983558,29,,Successful,16,,,Pass,38.7,12.1
passes,,35.4,73.4,,1983558,29,,Successful,20,,,Pass,37.4,20.8
passes,,75.9,0.0,,1983558,29,,Unsuccessful,32,,,Pass,64.1,19.4
passes,,72.0,36.8,,1983558,30,,Successful,3,,,Pass,59.5,21.9
passes,,94.6,32.5,,1983558,31,,Successful,13,,,Pass,70.9,63.5
passes,,58.3,21.3,,1983558,31,,Successful,38,,,Pass,65.1,24.1
passes,,38.3,41.8,,1983558,31,,Successful,56,,,Pass,46.5,27.8
passes,,86.0,1.3,,1983558,35,,Successful,3,,,Pass,80.3,7.5
passes,,60.7,76.5,,1983558,40,,Successful,8,,,Pass,68.8,89.4
passes,,89.2,58.8,,1983558,40,,Unsuccessful,15,,,Pass,69.4,82.9
passes,,5.2,29.4,,1983558,42,,Successful,59,,,Pass,14.6,15.2
passes,,58.6,81.4,,1983558,47,,Successful,8,,,Pass,55.3,66.5
passes,,61.5,86.8,,1983558,47,,Successful,12,,,Pass,62.5,71.7
passes,,37.9,74.7,,1983558,48,,Successful,58,,,Pass,33.8,43.9
passes,,79.6,7.6,,1983558,49,,Successful,26,,,Pass,82.5,10.4
passes,,87.6,75.6,,1983558,49,,Successful,36,,,Pass,76.1,14.8
passes,,70.8,64.3,,1983558,49,,Successful,51,,,Pass,74.0,76.7
passes,,64.7,2.2,,1983558,51,,Successful,47,,,Pass,55.1,19.7
passes,,66.9,70.8,,1983558,51,,Successful,57,,,Pass,60.9,49.8
passes,,72.4,95.2,,1983558,52,,Successful,6,,,Pass,65.5,67.7
passes,,57.3,3.7,,1983558,57,,Successful,42,,,Pass,64.4,9.3
passes,,37.4,29.4,,1983558,61,,Successful,35,,,Pass,39.9,50.9
passes,,40.1,11.2,,1983558,62,,Successful,58,,,Pass,45.6,21.0
passes,,45.3,40.1,,1983558,64,,Successful,38,,,Pass,54.4,31.8
passes,,77.8,9.6,,1983558,65,,Successful,20,,,Pass,70.3,21.4
passes,,53.8,24.4,,1983558,66,,Successful,8,,,Pass,68.7,17.2
passes,,57.8,26.9,,1983558,66,,Successful,12,,,Pass,54.9,14.6
passes,,74.4,1.6,,1983558,66,,Successful,37,,,Pass,74.3,8.4
passes,,91.7,34.0,,1983558,66,,Successful,47,,,Pass,91.4,13.7
dribbles,,,,,1983558,64,,Unsuccessful,8,,,TakeOn,31.9,61.5
dribbles,,,,,1983558,67,,Unsuccessful,39,,,TakeOn,24.8,39.4
defensive_actions,,,,,1983558,9,,Successful,54,,,Tackle,64.8,6.6
defensive_actions,,20.5,32.6,,1983558,42,,Successful,48,,,Clearance,21.5,59.5
defensive_actions,,,,,1983558,42,,Unsuccessful,56,,,Tackle,25.9,16.6
defensive_actions,,,,,1983558,42,,Successful,57,,,BallRecovery,21.3,15.2
defensive_actions,,,,,1983558,52,,Unsuccessful,56,,,Challenge,39.2,27.6
defensive_actions,,36.2,59.8,,1983558,67,,Successful,48,,,Clearance,19.6,35.4
